Sample	Seqdepth	Names	Limit	Downscaled Factor	Source
liver-female-17-459	779134143		2.5e+08	0.320869009	Liver_Data
liver-female-50-485	1038161477		2.5e+08	0.240810322	Liver_Data
liver-male-20-713	549153482		2.5e+08	0.455246135	Liver_Data
liver-male-58-715	904040200		2.5e+08	0.276536375	Liver_Data
liver-male-28-365B	588823016		2.5e+08	0.424575795	Liver_Data
liver-male-28-469	411577798		2.5e+08	0.607418576	Liver_Data
TCGA.ACC.265	1147625333		2.5e+08	0.217841131	TCGA_Data
TCGA.ACC.266	327847535		2.5e+08	0.76254958	TCGA_Data
TCGA.ACC.267	342185099		2.5e+08	0.730598734	TCGA_Data
TCGA.ACC.310	322721012		2.5e+08	0.774662915	TCGA_Data
TCGA.ACC.311	567679219		2.5e+08	0.440389557	TCGA_Data
TCGA.ACC.341	811387351		2.5e+08	0.308114244	TCGA_Data
TCGA.ACC.406	315861255		2.5e+08	0.791486756	TCGA_Data
TCGA.ACC.90	1866672203		2.5e+08	0.133928174	TCGA_Data
TCGA.BLCA.136	302073630		2.5e+08	0.827612791	TCGA_Data
TCGA.BLCA.140	372631643		2.5e+08	0.670903839	TCGA_Data
TCGA.BLCA.201	284962802		2.5e+08	0.877307488	TCGA_Data
TCGA.BLCA.239	319452107		2.5e+08	0.782589924	TCGA_Data
TCGA.BLCA.307	297618177		2.5e+08	0.840002457	TCGA_Data
TCGA.BLCA.322	277999783		2.5e+08	0.899281277	TCGA_Data
TCGA.BLCA.71	285761047		2.5e+08	0.874856817	TCGA_Data
TCGA.BLCA.77	413602536		2.5e+08	0.604445037	TCGA_Data
TCGA.BRCA.101	294533490		2.5e+08	0.848799911	TCGA_Data
TCGA.BRCA.109	325481700		2.5e+08	0.768092338	TCGA_Data
TCGA.BRCA.110	326859952		2.5e+08	0.764853566	TCGA_Data
TCGA.BRCA.111	311042925		2.5e+08	0.803747586	TCGA_Data
TCGA.BRCA.112	300311499		2.5e+08	0.832468956	TCGA_Data
TCGA.BRCA.113	262473591		2.5e+08	0.952476777	TCGA_Data
TCGA.BRCA.114	317317469		2.5e+08	0.787854513	TCGA_Data
TCGA.BRCA.115	278504300		2.5e+08	0.897652209	TCGA_Data
TCGA.BRCA.118	324548479		2.5e+08	0.770300945	TCGA_Data
TCGA.BRCA.11	317092848		2.5e+08	0.78841261	TCGA_Data
TCGA.BRCA.12	309080163		2.5e+08	0.808851651	TCGA_Data
TCGA.BRCA.150	313475497		2.5e+08	0.797510499	TCGA_Data
TCGA.BRCA.151	424422477		2.5e+08	0.589035722	TCGA_Data
TCGA.BRCA.152	453259399		2.5e+08	0.551560542	TCGA_Data
TCGA.BRCA.153	328049612		2.5e+08	0.762079853	TCGA_Data
TCGA.BRCA.183	737368536		2.5e+08	0.339043487	TCGA_Data
TCGA.BRCA.184	284086436		2.5e+08	0.880013856	TCGA_Data
TCGA.BRCA.185	296136495		2.5e+08	0.844205305	TCGA_Data
TCGA.BRCA.186	307589175		2.5e+08	0.812772426	TCGA_Data
TCGA.BRCA.191	276528050		2.5e+08	0.904067417	TCGA_Data
TCGA.BRCA.193	309076090		2.5e+08	0.80886231	TCGA_Data
TCGA.BRCA.194	319083846		2.5e+08	0.783493126	TCGA_Data
TCGA.BRCA.208	264806288		2.5e+08	0.944086343	TCGA_Data
TCGA.BRCA.209	270666501		2.5e+08	0.923645886	TCGA_Data
TCGA.BRCA.211	315503624		2.5e+08	0.792383925	TCGA_Data
TCGA.BRCA.212	314158601		2.5e+08	0.795776398	TCGA_Data
TCGA.BRCA.213	390484153		2.5e+08	0.640230847	TCGA_Data
TCGA.BRCA.214	313200554		2.5e+08	0.798210593	TCGA_Data
TCGA.BRCA.216	376930172		2.5e+08	0.663252821	TCGA_Data
TCGA.BRCA.218	345026679		2.5e+08	0.724581649	TCGA_Data
TCGA.BRCA.244	331881228		2.5e+08	0.753281532	TCGA_Data
TCGA.BRCA.283	362350344		2.5e+08	0.68994001	TCGA_Data
TCGA.BRCA.286	258741887		2.5e+08	0.96621387	TCGA_Data
TCGA.BRCA.287	326021481		2.5e+08	0.766820638	TCGA_Data
TCGA.BRCA.288	470180674		2.5e+08	0.531710497	TCGA_Data
TCGA.BRCA.290	328372179		2.5e+08	0.761331245	TCGA_Data
TCGA.BRCA.293	342554002		2.5e+08	0.729811938	TCGA_Data
TCGA.BRCA.313	264429086		2.5e+08	0.94543306	TCGA_Data
TCGA.BRCA.338	392640294		2.5e+08	0.63671509	TCGA_Data
TCGA.BRCA.339	310310191		2.5e+08	0.805645471	TCGA_Data
TCGA.BRCA.347	291812321		2.5e+08	0.856715025	TCGA_Data
TCGA.BRCA.348	253002378		2.5e+08	0.988133005	TCGA_Data
TCGA.BRCA.349	284238095		2.5e+08	0.879544313	TCGA_Data
TCGA.BRCA.35	275102145		2.5e+08	0.908753365	TCGA_Data
TCGA.BRCA.36	271172799		2.5e+08	0.921921376	TCGA_Data
TCGA.BRCA.379	325765202		2.5e+08	0.767423894	TCGA_Data
TCGA.BRCA.37	297254081		2.5e+08	0.841031347	TCGA_Data
TCGA.BRCA.388	376291239		2.5e+08	0.664379008	TCGA_Data
TCGA.BRCA.389	325085620		2.5e+08	0.769028172	TCGA_Data
TCGA.BRCA.38	288822926		2.5e+08	0.865582256	TCGA_Data
TCGA.BRCA.397	284056302		2.5e+08	0.880107212	TCGA_Data
TCGA.BRCA.398	322726571		2.5e+08	0.774649572	TCGA_Data
TCGA.BRCA.399	299019354		2.5e+08	0.836066284	TCGA_Data
TCGA.BRCA.39	265151963		2.5e+08	0.94285555	TCGA_Data
TCGA.BRCA.400	306460723		2.5e+08	0.815765223	TCGA_Data
TCGA.BRCA.401	279873541		2.5e+08	0.893260574	TCGA_Data
TCGA.BRCA.67	394505035		2.5e+08	0.633705473	TCGA_Data
TCGA.CESC.345	280395324		2.5e+08	0.891598321	TCGA_Data
TCGA.CESC.381	337676914		2.5e+08	0.740352656	TCGA_Data
TCGA.CHOL.116	761901857		2.5e+08	0.328126251	TCGA_Data
TCGA.CHOL.125	329318895		2.5e+08	0.759142593	TCGA_Data
TCGA.CHOL.226	256251109		2.5e+08	0.975605534	TCGA_Data
TCGA.CHOL.242	317444596		2.5e+08	0.787539001	TCGA_Data
TCGA.CHOL.407	299811948		2.5e+08	0.833856028	TCGA_Data
TCGA.COAD.106	359621509		2.5e+08	0.695175327	TCGA_Data
TCGA.COAD.119	472776205		2.5e+08	0.528791418	TCGA_Data
TCGA.COAD.142	333460367		2.5e+08	0.749714283	TCGA_Data
TCGA.COAD.143	363621665		2.5e+08	0.687527791	TCGA_Data
TCGA.COAD.144	447222706		2.5e+08	0.559005606	TCGA_Data
TCGA.COAD.14	314444290		2.5e+08	0.795053394	TCGA_Data
TCGA.COAD.154	535461560		2.5e+08	0.466886923	TCGA_Data
TCGA.COAD.155	397587844		2.5e+08	0.62879186	TCGA_Data
TCGA.COAD.156	447790218		2.5e+08	0.558297144	TCGA_Data
TCGA.COAD.157	273044598		2.5e+08	0.915601341	TCGA_Data
TCGA.COAD.166	297179206		2.5e+08	0.841243246	TCGA_Data
TCGA.COAD.247	1058702448		2.5e+08	0.236138115	TCGA_Data
TCGA.COAD.26	340127085		2.5e+08	0.735019383	TCGA_Data
TCGA.COAD.272	350377870		2.5e+08	0.713515383	TCGA_Data
TCGA.COAD.274	305463579		2.5e+08	0.818428177	TCGA_Data
TCGA.COAD.275	260397872		2.5e+08	0.96006929	TCGA_Data
TCGA.COAD.276	326409158		2.5e+08	0.765909883	TCGA_Data
TCGA.COAD.2	300618811		2.5e+08	0.831617952	TCGA_Data
TCGA.COAD.30	521769795		2.5e+08	0.479138506	TCGA_Data
TCGA.COAD.342	389211665		2.5e+08	0.642324017	TCGA_Data
TCGA.COAD.343	308061445		2.5e+08	0.811526415	TCGA_Data
TCGA.COAD.344	364125785		2.5e+08	0.686575931	TCGA_Data
TCGA.COAD.357	521393865		2.5e+08	0.479483969	TCGA_Data
TCGA.COAD.358	327195273		2.5e+08	0.764069718	TCGA_Data
TCGA.COAD.359	295487073		2.5e+08	0.846060701	TCGA_Data
TCGA.COAD.360	347064957		2.5e+08	0.720326253	TCGA_Data
TCGA.COAD.366	414604875		2.5e+08	0.602983744	TCGA_Data
TCGA.COAD.371	346454530		2.5e+08	0.721595414	TCGA_Data
TCGA.COAD.385	262277965		2.5e+08	0.953187204	TCGA_Data
TCGA.COAD.386	274609736		2.5e+08	0.910382871	TCGA_Data
TCGA.COAD.387	261682840		2.5e+08	0.955354963	TCGA_Data
TCGA.COAD.3	352718554		2.5e+08	0.708780406	TCGA_Data
TCGA.COAD.408	309769763		2.5e+08	0.80705101	TCGA_Data
TCGA.COAD.46	292488152		2.5e+08	0.854735477	TCGA_Data
TCGA.COAD.89	425659621		2.5e+08	0.587323739	TCGA_Data
TCGA.COAD.9	265252162		2.5e+08	0.942499387	TCGA_Data
TCGA.ESCA.103	315161601		2.5e+08	0.793243844	TCGA_Data
TCGA.ESCA.117	314381430		2.5e+08	0.795212364	TCGA_Data
TCGA.ESCA.161	404532271		2.5e+08	0.617997668	TCGA_Data
TCGA.ESCA.162	316413576		2.5e+08	0.790105163	TCGA_Data
TCGA.ESCA.228	259231054		2.5e+08	0.964390632	TCGA_Data
TCGA.ESCA.234	335539678		2.5e+08	0.745068367	TCGA_Data
TCGA.ESCA.250	311748015		2.5e+08	0.801929725	TCGA_Data
TCGA.ESCA.327	258691602		2.5e+08	0.966401685	TCGA_Data
TCGA.ESCA.328	329815568		2.5e+08	0.757999392	TCGA_Data
TCGA.ESCA.330	258964599		2.5e+08	0.965382917	TCGA_Data
TCGA.ESCA.74	271541511		2.5e+08	0.920669547	TCGA_Data
TCGA.GBM.137	266729369		2.5e+08	0.937279614	TCGA_Data
TCGA.GBM.241	336870931		2.5e+08	0.742123992	TCGA_Data
TCGA.GBM.346	276278043		2.5e+08	0.904885518	TCGA_Data
TCGA.GBM.382	412437934		2.5e+08	0.606151809	TCGA_Data
TCGA.GBM.4	302920439		2.5e+08	0.825299213	TCGA_Data
TCGA.GBM.59	266077776		2.5e+08	0.939574901	TCGA_Data
TCGA.HNSC.167	301360860		2.5e+08	0.829570237	TCGA_Data
TCGA.HNSC.175	275423518		2.5e+08	0.907693002	TCGA_Data
TCGA.HNSC.204	305119946		2.5e+08	0.819349909	TCGA_Data
TCGA.HNSC.207	269501968		2.5e+08	0.927637011	TCGA_Data
TCGA.HNSC.82	335327476		2.5e+08	0.745539861	TCGA_Data
TCGA.HNSC.99	534305997		2.5e+08	0.467896676	TCGA_Data
TCGA.KIRC.170	291077648		2.5e+08	0.858877354	TCGA_Data
TCGA.KIRC.174	276261698		2.5e+08	0.904939055	TCGA_Data
TCGA.KIRC.178	420345170		2.5e+08	0.59474931	TCGA_Data
TCGA.KIRC.223	306364862		2.5e+08	0.816020474	TCGA_Data
TCGA.KIRC.236	338853411		2.5e+08	0.737782156	TCGA_Data
TCGA.KIRC.302	1037480356		2.5e+08	0.240968418	TCGA_Data
TCGA.KIRC.320	318350982		2.5e+08	0.785296777	TCGA_Data
TCGA.KIRC.321	317984578		2.5e+08	0.78620165	TCGA_Data
TCGA.KIRC.69	266605950		2.5e+08	0.937713506	TCGA_Data
TCGA.KIRC.78	314839622		2.5e+08	0.794055076	TCGA_Data
TCGA.KIRC.79	267926942		2.5e+08	0.933090185	TCGA_Data
TCGA.KIRP.163	306030742		2.5e+08	0.816911394	TCGA_Data
TCGA.KIRP.164	279161959		2.5e+08	0.89553749	TCGA_Data
TCGA.KIRP.165	344612854		2.5e+08	0.725451756	TCGA_Data
TCGA.KIRP.169	519715709		2.5e+08	0.481032218	TCGA_Data
TCGA.KIRP.180	1685508515		2.5e+08	0.14832319	TCGA_Data
TCGA.KIRP.200	297695999		2.5e+08	0.839782869	TCGA_Data
TCGA.KIRP.202	433731339		2.5e+08	0.576393674	TCGA_Data
TCGA.KIRP.205	271425280		2.5e+08	0.921063801	TCGA_Data
TCGA.KIRP.206	394171926		2.5e+08	0.634241009	TCGA_Data
TCGA.KIRP.22	301234370		2.5e+08	0.829918578	TCGA_Data
TCGA.KIRP.231	269638561		2.5e+08	0.92716709	TCGA_Data
TCGA.KIRP.240	490710403		2.5e+08	0.509465458	TCGA_Data
TCGA.KIRP.246	282882270		2.5e+08	0.883759877	TCGA_Data
TCGA.KIRP.252	293707317		2.5e+08	0.851187511	TCGA_Data
TCGA.KIRP.253	376329771		2.5e+08	0.664310983	TCGA_Data
TCGA.KIRP.257	333260457		2.5e+08	0.750164008	TCGA_Data
TCGA.KIRP.27	319111927		2.5e+08	0.783424181	TCGA_Data
TCGA.KIRP.299	284993990		2.5e+08	0.877211481	TCGA_Data
TCGA.KIRP.29	400177519		2.5e+08	0.62472275	TCGA_Data
TCGA.KIRP.308	377671579		2.5e+08	0.66195079	TCGA_Data
TCGA.KIRP.31	955055927		2.5e+08	0.261764775	TCGA_Data
TCGA.KIRP.323	289379594		2.5e+08	0.86391717	TCGA_Data
TCGA.KIRP.367	278907406		2.5e+08	0.896354828	TCGA_Data
TCGA.KIRP.368	299243707		2.5e+08	0.835439457	TCGA_Data
TCGA.KIRP.372	303647333		2.5e+08	0.823323549	TCGA_Data
TCGA.KIRP.43	368806883		2.5e+08	0.677861535	TCGA_Data
TCGA.KIRP.44	392746568		2.5e+08	0.6365428	TCGA_Data
TCGA.KIRP.45	336884014		2.5e+08	0.742095171	TCGA_Data
TCGA.KIRP.54	689519107		2.5e+08	0.362571533	TCGA_Data
TCGA.KIRP.70	268852083		2.5e+08	0.929879349	TCGA_Data
TCGA.KIRP.72	415922567		2.5e+08	0.60107342	TCGA_Data
TCGA.KIRP.73	269498134		2.5e+08	0.927650208	TCGA_Data
TCGA.KIRP.98	355511750		2.5e+08	0.703211638	TCGA_Data
TCGA.LGG.159	391995611		2.5e+08	0.637762243	TCGA_Data
TCGA.LGG.243	291574930		2.5e+08	0.857412535	TCGA_Data
TCGA.LGG.331	306112028		2.5e+08	0.816694468	TCGA_Data
TCGA.LGG.336	333082460		2.5e+08	0.75056489	TCGA_Data
TCGA.LGG.351	289645396		2.5e+08	0.86312437	TCGA_Data
TCGA.LGG.355	281635036		2.5e+08	0.887673649	TCGA_Data
TCGA.LGG.391	402397513		2.5e+08	0.621276206	TCGA_Data
TCGA.LGG.55	363470446		2.5e+08	0.687813831	TCGA_Data
TCGA.LGG.56	280191987		2.5e+08	0.892245359	TCGA_Data
TCGA.LIHC.126	421291073		2.5e+08	0.593413951	TCGA_Data
TCGA.LIHC.149	322845949		2.5e+08	0.774363131	TCGA_Data
TCGA.LIHC.220	255483251		2.5e+08	0.978537728	TCGA_Data
TCGA.LIHC.224	353955156		2.5e+08	0.706304162	TCGA_Data
TCGA.LIHC.225	318091455		2.5e+08	0.785937491	TCGA_Data
TCGA.LIHC.237	988743791		2.5e+08	0.252846088	TCGA_Data
TCGA.LIHC.256	322773141		2.5e+08	0.774537805	TCGA_Data
TCGA.LIHC.258	253475467		2.5e+08	0.986288744	TCGA_Data
TCGA.LIHC.259	682656175		2.5e+08	0.366216566	TCGA_Data
TCGA.LIHC.271	415362833		2.5e+08	0.601883414	TCGA_Data
TCGA.LIHC.305	281211229		2.5e+08	0.889011441	TCGA_Data
TCGA.LIHC.354	330754826		2.5e+08	0.75584687	TCGA_Data
TCGA.LIHC.40	306623550		2.5e+08	0.815332025	TCGA_Data
TCGA.LIHC.42	331807369		2.5e+08	0.75344921	TCGA_Data
TCGA.LIHC.83	368171287		2.5e+08	0.679031768	TCGA_Data
TCGA.LUAD.108	265778049		2.5e+08	0.940634492	TCGA_Data
TCGA.LUAD.189	433196573		2.5e+08	0.577105212	TCGA_Data
TCGA.LUAD.260	397010950		2.5e+08	0.629705553	TCGA_Data
TCGA.LUAD.270	321850572		2.5e+08	0.776757979	TCGA_Data
TCGA.LUAD.297	346949009		2.5e+08	0.720566981	TCGA_Data
TCGA.LUAD.306	274156590		2.5e+08	0.911887619	TCGA_Data
TCGA.LUAD.32	789561927		2.5e+08	0.316631275	TCGA_Data
