"Data_Reference" "Data_Origin" "SRR_Sample" "File_Accession" "Experiment_Accession" "Paired" "Nature"
"ENCSR886VCC.psoas_muscle.1_1_1" "ENCODE" "SRR14105466" "ENCFF056ASO" "ENCSR886VCC" "paired-ended" "fastq"
"ENCSR344ZTM.thoracic_aorta.1_1_1" "ENCODE" "SRR14305710" "ENCFF566LXM" "ENCSR344ZTM" "paired-ended" "fastq"
"ENCSR731ODJ.left_cardiac_atrium.1_1_1" "ENCODE" "SRR14305436" "ENCFF165ONS" "ENCSR731ODJ" "paired-ended" "fastq"
"ENCSR855BMI.Right_ventricle_myocardium_inferior.1_1_1" "ENCODE" "SRR14104425" "ENCFF936ZYB" "ENCSR855BMI" "paired-ended" "fastq"
"ENCSR530XBF.pancreas.1_1_3" "ENCODE" "SRR14105507" "ENCFF185YDO" "ENCSR530XBF" "paired-ended" "fastq"
"ENCSR668VCT.transverse_colon.1_1_1" "ENCODE" "SRR14305400" "ENCFF974WES" "ENCSR668VCT" "paired-ended" "fastq"
"ENCSR414DVK.adrenal_gland.1_1_1" "ENCODE" "SRR14306024" "ENCFF524RSU" "ENCSR414DVK" "paired-ended" "fastq"
"ENCSR403GBR.heart_right_ventricle.1_1_1" "ENCODE" "SRR21926602" "ENCFF123WGP" "ENCSR403GBR" "paired-ended" "fastq"
"ENCSR490MSG.ovary.1_1_1" "ENCODE" "SRR14305070" "ENCFF703OJH" "ENCSR490MSG" "paired-ended" "fastq"
"ENCSR297VGU.kidney.1_1_1" "ENCODE" "SRR21927236" "ENCFF196ERT" "ENCSR297VGU" "paired-ended" "fastq"
"ENCSR607BTF.right_lobe_of_liver.1_1_2" "ENCODE" "SRR14107633" "ENCFF917OXV" "ENCSR607BTF" "paired-ended" "fastq"
"ENCSR624ODL.left_lobe_of_liver.1_1_1" "ENCODE" "SRR14107691" "ENCFF511SZJ" "ENCSR624ODL" "paired-ended" "fastq"
"ENCSR167SYF.cardiac_septum.1_1_3" "ENCODE" "SRR21927240" "ENCFF139SMR" "ENCSR167SYF" "paired-ended" "fastq"
"ENCSR619LHF.sciatic_nerve.1_1_2" "ENCODE" "SRR21926651" "ENCFF123QYX" "ENCSR619LHF" "paired-ended" "fastq"
"ENCSR846VPV.heart_left_ventricle.1_2_2" "ENCODE" "SRR14305732" "ENCFF369GIP" "ENCSR846VPV" "paired-ended" "fastq"
"ENCSR551CSY.mesenteric_fat_pad.1_1_1" "ENCODE" "SRR14106122" "ENCFF839UAN" "ENCSR551CSY" "paired-ended" "fastq"
"ENCSR831KAH.tibial_nerve.1_1_1" "ENCODE" "SRR14305457" "ENCFF310FXX" "ENCSR831KAH" "paired-ended" "fastq"
"ENCSR822BAD.right_cardiac_atrium.1_1_2" "ENCODE" "SRR21926657" "ENCFF399DNW" "ENCSR822BAD" "paired-ended" "fastq"
"ENCSR895SEG.upper_lobe_of_left_lung.1_1_1" "ENCODE" "SRR21926858" "ENCFF694SMZ" "ENCSR895SEG" "paired-ended" "fastq"
"ENCSR516CPW.right_lobe_of_liver.1_1_1" "ENCODE" "SRR14105316" "ENCFF121HNL" "ENCSR516CPW" "paired-ended" "fastq"
"ENCSR476WNA.ovary.1_1_1" "ENCODE" "SRR21926834" "ENCFF169CRS" "ENCSR476WNA" "paired-ended" "fastq"
"ENCSR923VTG.lower_lobe_of_right_lung.1_1_1" "ENCODE" "SRR21926952" "ENCFF878NVN" "ENCSR923VTG" "paired-ended" "fastq"
"ENCSR213DBU.posterior_vena_cava.1_2_2" "ENCODE" "SRR21926661" "ENCFF241CGK" "ENCSR213DBU" "paired-ended" "fastq"
"ENCSR040DJK.psoas_muscle.1_1_1" "ENCODE" "SRR14103522" "ENCFF537OEJ" "ENCSR040DJK" "paired-ended" "fastq"
"ENCSR241OBO.adrenal_gland.1_1_3" "ENCODE" "SRR14103501" "ENCFF817MYO" "ENCSR241OBO" "paired-ended" "fastq"
"ENCSR153IUB.mucosa_of_urinary_bladder.1_1_1" "ENCODE" "SRR14105511" "ENCFF358DJF" "ENCSR153IUB" "paired-ended" "fastq"
"ENCSR996ZCR.ovary.1_1_1" "ENCODE" "SRR14107611" "ENCFF507NXA" "ENCSR996ZCR" "paired-ended" "fastq"
"ENCSR452OSK.right_cardiac_atrium.1_1_1" "ENCODE" "SRR14306125" "ENCFF993EXM" "ENCSR452OSK" "paired-ended" "fastq"
"ENCSR238VHV.fallopian_tube.1_1_1" "ENCODE" "SRR21927064" "ENCFF335AMX" "ENCSR238VHV" "paired-ended" "fastq"
"ENCSR286STX.heart_left_ventricle.1_1_2" "ENCODE" "SRR14104162" "ENCFF083XCZ" "ENCSR286STX" "paired-ended" "fastq"
"ENCSR769DGC.heart_left_ventricle.1_2_1" "ENCODE" "SRR21927515" "ENCFF792HZQ" "ENCSR769DGC" "paired-ended" "fastq"
"ENCSR496PPU.mucosa_of_descending_colon.1_1_1" "ENCODE" "SRR14104394" "ENCFF191IRU" "ENCSR496PPU" "paired-ended" "fastq"
"ENCSR295TFY.aorta.1_1_1" "ENCODE" "SRR21927206" "ENCFF879PLY" "ENCSR295TFY" "paired-ended" "fastq"
"ENCSR325NFE.bile_duct.1_2_2" "ENCODE" "SRR21927415" "ENCFF274MOY" "ENCSR325NFE" "paired-ended" "fastq"
"ENCSR533WFB.sciatic_nerve.1_1_1" "ENCODE" "SRR21927299" "ENCFF859VNN" "ENCSR533WFB" "paired-ended" "fastq"
"ENCSR765MXG.body_of_pancreas.1_1_1" "ENCODE" "SRR14103619" "ENCFF595ZAG" "ENCSR765MXG" "paired-ended" "fastq"
"ENCSR337UIU.stomach.1_1_1" "ENCODE" "SRR14105375" "ENCFF326XJM" "ENCSR337UIU" "paired-ended" "fastq"
"ENCSR491VKV.heart_right_ventricle.1_1_1" "ENCODE" "SRR21926926" "ENCFF954BEE" "ENCSR491VKV" "paired-ended" "fastq"
"ENCSR548QCP.sigmoid_colon.1_1_1" "ENCODE" "SRR10389003" "ENCFF138HKP" "ENCSR548QCP" "paired-ended" "fastq"
"ENCSR914DTI.thyroid_gland.1_1_1" "ENCODE" "SRR14305903" "ENCFF059UER" "ENCSR914DTI" "paired-ended" "fastq"
"ENCSR761TKU.transverse_colon.1_1_1" "ENCODE" "SRR14305085" "ENCFF312UDS" "ENCSR761TKU" "paired-ended" "fastq"
"ENCSR647AOY.lung.1_2_2" "ENCODE" "SRR14305859" "ENCFF494CDB" "ENCSR647AOY" "paired-ended" "fastq"
"ENCSR745CGG.heart_left_ventricle.1_1_1" "ENCODE" "SRR21927495" "ENCFF265UOQ" "ENCSR745CGG" "paired-ended" "fastq"
"ENCSR872MAO.ovary.1_1_1" "ENCODE" "SRR21926785" "ENCFF529EHE" "ENCSR872MAO" "paired-ended" "fastq"
"ENCSR823ZCR.gastrocnemius_medialis.1_1_1" "ENCODE" "SRR14305525" "ENCFF433SND" "ENCSR823ZCR" "paired-ended" "fastq"
"ENCSR918TVE.pancreas.1_1_1" "ENCODE" "SRR14106905" "ENCFF716LWT" "ENCSR918TVE" "paired-ended" "fastq"
"ENCSR133WJY.left_ventricle_myocardium_superior.1_1_1" "ENCODE" "SRR14105364" "ENCFF158CDA" "ENCSR133WJY" "paired-ended" "fastq"
"ENCSR174MLD.bile_duct.1_1_1" "ENCODE" "SRR21927256" "ENCFF490YAX" "ENCSR174MLD" "paired-ended" "fastq"
"ENCSR251POP.pancreas.1_1_1" "ENCODE" "SRR14103634" "ENCFF177ZDO" "ENCSR251POP" "paired-ended" "fastq"
"ENCSR682ETE.left_lung.1_1_1" "ENCODE" "SRR14107858" "ENCFF959HPE" "ENCSR682ETE" "paired-ended" "fastq"
"ENCSR399OSE.heart_left_ventricle.1_1_2" "ENCODE" "SRR14107418" "ENCFF167ZZE" "ENCSR399OSE" "paired-ended" "fastq"
"ENCSR491VXJ.mucosa_of_descending_colon.1_1_2" "ENCODE" "SRR14104320" "ENCFF123YRJ" "ENCSR491VXJ" "paired-ended" "fastq"
"ENCSR890DWH.psoas_muscle.1_1_1" "ENCODE" "SRR14105545" "ENCFF948HEP" "ENCSR890DWH" "paired-ended" "fastq"
"ENCSR330WUK.left_cardiac_atrium.1_1_1" "ENCODE" "SRR21927435" "ENCFF328BFO" "ENCSR330WUK" "paired-ended" "fastq"
"ENCSR913FZQ.posterior_vena_cava.1_1_2" "ENCODE" "SRR21926880" "ENCFF163JFY" "ENCSR913FZQ" "paired-ended" "fastq"
"ENCSR225FZH.heart_left_ventricle.1_1_1" "ENCODE" "SRR21927005" "ENCFF703FBG" "ENCSR225FZH" "paired-ended" "fastq"
"ENCSR404LLJ.transverse_colon.1_1_1" "ENCODE" "SRR14103013" "ENCFF574UTU" "ENCSR404LLJ" "paired-ended" "fastq"
"ENCSR540BML.subcutaneous_adipose_tissue.1_1_1" "ENCODE" "SRR14305229" "ENCFF215GFE" "ENCSR540BML" "paired-ended" "fastq"
"ENCSR788TRR.omental_fat_pad.1_1_1" "ENCODE" "SRR14305202" "ENCFF103VYG" "ENCSR788TRR" "paired-ended" "fastq"
"ENCSR705RZX.uterus.1_1_1" "ENCODE" "SRR21927181" "ENCFF561CBN" "ENCSR705RZX" "paired-ended" "fastq"
"ENCSR774NXA.psoas_muscle.1_1_1" "ENCODE" "SRR14103673" "ENCFF845OUV" "ENCSR774NXA" "paired-ended" "fastq"
"ENCSR204PZT.heart_left_ventricle.1_1_1" "ENCODE" "SRR21926598" "ENCFF245YIM" "ENCSR204PZT" "paired-ended" "fastq"
"ENCSR308HPZ.gastrocnemius_medialis.1_1_1" "ENCODE" "SRR14104383" "ENCFF891RRQ" "ENCSR308HPZ" "paired-ended" "fastq"
"ENCSR201FIW.thyroid_gland.1_1_1" "ENCODE" "SRR14102883" "ENCFF513OIA" "ENCSR201FIW" "paired-ended" "fastq"
"ENCSR851SBY.stomach.1_1_1" "ENCODE" "SRR14305749" "ENCFF521ITF" "ENCSR851SBY" "paired-ended" "fastq"
"ENCSR553LAZ.adrenal_gland.1_2_1" "ENCODE" "SRR14106942" "ENCFF171DIZ" "ENCSR553LAZ" "paired-ended" "fastq"
"ENCSR392UJM.ovary.1_1_2" "ENCODE" "SRR14107341" "ENCFF698AXZ" "ENCSR392UJM" "paired-ended" "fastq"
"ENCSR327DCG.heart_right_ventricle.1_1_1" "ENCODE" "SRR21927430" "ENCFF467PQQ" "ENCSR327DCG" "paired-ended" "fastq"
"ENCSR571JFO.ovary.1_1_1" "ENCODE" "SRR21927374" "ENCFF250NSN" "ENCSR571JFO" "paired-ended" "fastq"
"ENCSR078EBD.spleen.1_1_1" "ENCODE" "SRR14305318" "ENCFF391IHY" "ENCSR078EBD" "paired-ended" "fastq"
"ENCSR355SGJ.sigmoid_colon.1_1_1" "ENCODE" "SRR14305369" "ENCFF775DFR" "ENCSR355SGJ" "paired-ended" "fastq"
"ENCSR086OGH.sigmoid_colon.1_1_1" "ENCODE" "SRR14305482" "ENCFF332SCG" "ENCSR086OGH" "paired-ended" "fastq"
"ENCSR946MAI.left_ventricle_myocardium_inferior.1_1_1" "ENCODE" "SRR21927001" "ENCFF691LXK" "ENCSR946MAI" "paired-ended" "fastq"
"ENCSR952SPO.right_lobe_of_liver.1_1_1" "ENCODE" "SRR14107273" "ENCFF521RQX" "ENCSR952SPO" "paired-ended" "fastq"
"ENCSR548SSP.mucosa_of_urinary_bladder.1_1_1" "ENCODE" "SRR21927339" "ENCFF751EVM" "ENCSR548SSP" "paired-ended" "fastq"
"ENCSR072UYN.sciatic_nerve.1_1_1" "ENCODE" "SRR14103950" "ENCFF581IZG" "ENCSR072UYN" "paired-ended" "fastq"
"ENCSR154UWN.psoas_muscle.1_1_3" "ENCODE" "SRR21927198" "ENCFF717ZBG" "ENCSR154UWN" "paired-ended" "fastq"
"ENCSR808ZMK.pancreas.1_1_1" "ENCODE" "SRR14104133" "ENCFF500NOJ" "ENCSR808ZMK" "paired-ended" "fastq"
"ENCSR117PYB.heart_left_ventricle.1_1_1" "ENCODE" "SRR14305750" "ENCFF549AFY" "ENCSR117PYB" "paired-ended" "fastq"
"ENCSR310RJN.heart_left_ventricle.1_1_1" "ENCODE" "SRR14104417" "ENCFF064TFG" "ENCSR310RJN" "paired-ended" "fastq"
"ENCSR689SDA.gastrocnemius_medialis.1_1_1" "ENCODE" "SRR14306060" "ENCFF968KAQ" "ENCSR689SDA" "paired-ended" "fastq"
"ENCSR096BPX.esophagus_squamous_epithelium.1_1_1" "ENCODE" "SRR14305456" "ENCFF323WYT" "ENCSR096BPX" "paired-ended" "fastq"
"ENCSR310UDW.left_cardiac_atrium.1_1_1" "ENCODE" "SRR14104444" "ENCFF023KVQ" "ENCSR310UDW" "paired-ended" "fastq"
"ENCSR710SMN.heart_right_ventricle.1_1_1" "ENCODE" "SRR14103106" "ENCFF135EZA" "ENCSR710SMN" "paired-ended" "fastq"
"ENCSR158KCS.spleen.1_1_2" "ENCODE" "SRR21927220" "ENCFF555GVX" "ENCSR158KCS" "paired-ended" "fastq"
"ENCSR979TCG.spleen.1_1_1" "ENCODE" "SRR21927268" "ENCFF522ESP" "ENCSR979TCG" "paired-ended" "fastq"
"ENCSR990NNX.upper_lobe_of_right_lung.1_1_1" "ENCODE" "SRR14107592" "ENCFF632QUK" "ENCSR990NNX" "paired-ended" "fastq"
"ENCSR074WMH.Right_ventricle_myocardium_superior.1_1_1" "ENCODE" "SRR14305293" "ENCFF481FUD" "ENCSR074WMH" "paired-ended" "fastq"
"ENCSR437OOJ.heart_right_ventricle.1_1_1" "ENCODE" "SRR14103575" "ENCFF031DZC" "ENCSR437OOJ" "paired-ended" "fastq"
"ENCSR555ZDH.lower_lobe_of_left_lung.1_1_1" "ENCODE" "SRR14107021" "ENCFF367UWY" "ENCSR555ZDH" "paired-ended" "fastq"
"ENCSR213YPO.right_cardiac_atrium.1_1_1" "ENCODE" "SRR14103038" "ENCFF157JQN" "ENCSR213YPO" "paired-ended" "fastq"
"ENCSR814RGG.ureter.1_1_1" "ENCODE" "SRR21926620" "ENCFF898PFN" "ENCSR814RGG" "paired-ended" "fastq"
"ENCSR415LEB.jejunum.1_2_2" "ENCODE" "SRR21926675" "ENCFF639LTR" "ENCSR415LEB" "paired-ended" "fastq"
"ENCSR552QUA.posterior_vena_cava.1_2_1" "ENCODE" "SRR14106149" "ENCFF349HYU" "ENCSR552QUA" "paired-ended" "fastq"
"ENCSR593YFB.heart_left_ventricle.1_1_1" "ENCODE" "SRR21927398" "ENCFF225URM" "ENCSR593YFB" "paired-ended" "fastq"
"ENCSR374ZRW.heart_right_ventricle.1_1_1" "ENCODE" "SRR21927527" "ENCFF622RUV" "ENCSR374ZRW" "paired-ended" "fastq"
"ENCSR970UNF.colonic_mucosa.1_1_1" "ENCODE" "SRR14107489" "ENCFF631QOO" "ENCSR970UNF" "paired-ended" "fastq"
"ENCSR386HAZ.transverse_colon.1_1_1" "ENCODE" "SRR14305967" "ENCFF956PUF" "ENCSR386HAZ" "paired-ended" "fastq"
"ENCSR955JSO.breast_epithelium.1_1_1" "ENCODE" "SRR14306049" "ENCFF011MBI" "ENCSR955JSO" "paired-ended" "fastq"
"ENCSR260ZIV.gastroesophageal_sphincter.1_1_1" "ENCODE" "SRR14305054" "ENCFF553SEZ" "ENCSR260ZIV" "paired-ended" "fastq"
"ENCSR651SOJ.adrenal_gland.1_1_1" "ENCODE" "SRR14107786" "ENCFF612ZOQ" "ENCSR651SOJ" "paired-ended" "fastq"
"ENCSR736CIN.left_cardiac_atrium.1_2_1" "ENCODE" "SRR21927474" "ENCFF528KGY" "ENCSR736CIN" "paired-ended" "fastq"
"ENCSR177JWR.right_cardiac_atrium.1_1_2" "ENCODE" "SRR14106716" "ENCFF731XXU" "ENCSR177JWR" "paired-ended" "fastq"
"ENCSR630REB.tibial_artery.1_1_1" "ENCODE" "SRR14107713" "ENCFF348JLD" "ENCSR630REB" "paired-ended" "fastq"
"ENCSR773USD.body_of_pancreas.1_1_1" "ENCODE" "SRR14305137" "ENCFF538JTF" "ENCSR773USD" "paired-ended" "fastq"
"ENCSR242QRV.upper_lobe_of_left_lung.1_1_1" "ENCODE" "SRR21927095" "ENCFF161CPE" "ENCSR242QRV" "paired-ended" "fastq"
"ENCSR124NNL.liver.1_2_1" "ENCODE" "SRR21927028" "ENCFF516RWX" "ENCSR124NNL" "paired-ended" "fastq"
"ENCSR694OWY.spleen.1_1_1" "ENCODE" "SRR21927134" "ENCFF629GLL" "ENCSR694OWY" "paired-ended" "fastq"
"ENCSR846ZBX.breast_epithelium.1_1_1" "ENCODE" "SRR10388801" "ENCFF216RFR" "ENCSR846ZBX" "paired-ended" "fastq"
"ENCSR258JCL.gastrocnemius_medialis.1_1_1" "ENCODE" "SRR14103684" "ENCFF982ITD" "ENCSR258JCL" "paired-ended" "fastq"
"ENCSR053SGP.heart_right_ventricle.1_1_1" "ENCODE" "SRR14103759" "ENCFF448CXQ" "ENCSR053SGP" "paired-ended" "fastq"
"ENCSR210NKB.testis.1_1_1" "ENCODE" "SRR14306058" "ENCFF357PYB" "ENCSR210NKB" "paired-ended" "fastq"
"ENCSR373TDL.right_lobe_of_liver.1_1_1" "ENCODE" "SRR14305414" "ENCFF035UUL" "ENCSR373TDL" "paired-ended" "fastq"
"ENCSR563ZNI.heart_right_ventricle.1_2_1" "ENCODE" "SRR14107116" "ENCFF578KEL" "ENCSR563ZNI" "paired-ended" "fastq"
"ENCSR522FGI.heart_right_ventricle.1_1_1" "ENCODE" "SRR14105424" "ENCFF317BOO" "ENCSR522FGI" "paired-ended" "fastq"
"ENCSR864ADD.adrenal_gland.1_1_1" "ENCODE" "SRR14104521" "ENCFF803FYH" "ENCSR864ADD" "paired-ended" "fastq"
"ENCSR705KEB.pancreas.1_1_2" "ENCODE" "SRR14103048" "ENCFF177CAC" "ENCSR705KEB" "paired-ended" "fastq"
"ENCSR152PSA.body_of_pancreas.1_1_1" "ENCODE" "SRR14305840" "ENCFF524LVZ" "ENCSR152PSA" "paired-ended" "fastq"
"ENCSR515CDW.body_of_pancreas.1_1_1" "ENCODE" "SRR14305136" "ENCFF703BZC" "ENCSR515CDW" "paired-ended" "fastq"
"ENCSR133CMC.heart_right_ventricle.1_1_1" "ENCODE" "SRR14105324" "ENCFF139GIQ" "ENCSR133CMC" "paired-ended" "fastq"
"ENCSR654UYP.breast_epithelium.1_1_1" "ENCODE" "SRR14305402" "ENCFF210QPG" "ENCSR654UYP" "paired-ended" "fastq"
"ENCSR846VLJ.sigmoid_colon.1_1_1" "ENCODE" "SRR14104376" "ENCFF574WBE" "ENCSR846VLJ" "paired-ended" "fastq"
"ENCSR182VGJ.spleen.1_1_1" "ENCODE" "SRR21927311" "ENCFF787CTN" "ENCSR182VGJ" "paired-ended" "fastq"
"ENCSR802GEV.cerebellum.1_1_1" "ENCODE" "SRR14104080" "ENCFF520LZN" "ENCSR802GEV" "single-ended" "fastq"
"ENCSR729FNL.posterior_cingulate_cortex.1_1_1" "ENCODE" "SRR14103272" "ENCFF903DYC" "ENCSR729FNL" "single-ended" "fastq"
"ATAC_brain_anterior_cingulate_cortex_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367812" "" "" "paired-ended" "fastq"
"ATAC_brain_anterior_cingulate_cortex_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367719" "" "" "paired-ended" "fastq"
"ATAC_brain_anterior_cingulate_cortex_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367767" "" "" "paired-ended" "fastq"
"ATAC_brain_anterior_cingulate_cortex_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367743" "" "" "paired-ended" "fastq"
"ATAC_brain_anterior_cingulate_cortex_Neuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367790" "" "" "paired-ended" "fastq"
"ATAC_brain_anterior_cingulate_cortex_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367799" "" "" "paired-ended" "fastq"
"ATAC_brain_anterior_cingulate_cortex_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367708" "" "" "paired-ended" "fastq"
"ATAC_brain_anterior_cingulate_cortex_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367755" "" "" "paired-ended" "fastq"
"ATAC_brain_anterior_cingulate_cortex_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367730" "" "" "paired-ended" "fastq"
"ATAC_brain_anterior_cingulate_cortex_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367779" "" "" "paired-ended" "fastq"
"ATAC_brain_basal_amygdala_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367813" "" "" "paired-ended" "fastq"
"ATAC_brain_basal_amygdala_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367800" "" "" "paired-ended" "fastq"
"ATAC_brain_basal_amygdala_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367731" "" "" "paired-ended" "fastq"
"ATAC_brain_dorsolateral_prefrontal_cortex_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367814" "" "" "paired-ended" "fastq"
"ATAC_brain_dorsolateral_prefrontal_cortex_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367720" "" "" "paired-ended" "fastq"
"ATAC_brain_dorsolateral_prefrontal_cortex_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367768" "" "" "paired-ended" "fastq"
"ATAC_brain_dorsolateral_prefrontal_cortex_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367744" "" "" "paired-ended" "fastq"
"ATAC_brain_dorsolateral_prefrontal_cortex_Neuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367791" "" "" "paired-ended" "fastq"
"ATAC_brain_dorsolateral_prefrontal_cortex_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367801" "" "" "paired-ended" "fastq"
"ATAC_brain_dorsolateral_prefrontal_cortex_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367709" "" "" "paired-ended" "fastq"
"ATAC_brain_dorsolateral_prefrontal_cortex_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367756" "" "" "paired-ended" "fastq"
"ATAC_brain_dorsolateral_prefrontal_cortex_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367732" "" "" "paired-ended" "fastq"
"ATAC_brain_dorsolateral_prefrontal_cortex_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367780" "" "" "paired-ended" "fastq"
"ATAC_brain_hippocampus_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367815" "" "" "paired-ended" "fastq"
