Data_Reference	Data_Origin	SRR_Sample	File_Accession	Experiment_Accession	Paired	Nature	Seqdepth
ENCSR167SYF.cardiac_septum.1_1_3	ENCODE	SRR21927240	ENCFF139SMR	ENCSR167SYF	paired-ended	fastq	293534143
ENCSR619LHF.sciatic_nerve.1_1_2	ENCODE	SRR21926651	ENCFF123QYX	ENCSR619LHF	paired-ended	fastq	734045770
ENCSR846VPV.heart_left_ventricle.1_2_2	ENCODE	SRR14305732	ENCFF369GIP	ENCSR846VPV	paired-ended	fastq	169272913
ENCSR551CSY.mesenteric_fat_pad.1_1_1	ENCODE	SRR14106122	ENCFF839UAN	ENCSR551CSY	paired-ended	fastq	386682922
ENCSR831KAH.tibial_nerve.1_1_1	ENCODE	SRR14305457	ENCFF310FXX	ENCSR831KAH	paired-ended	fastq	167747567
ENCSR822BAD.right_cardiac_atrium.1_1_2	ENCODE	SRR21926657	ENCFF399DNW	ENCSR822BAD	paired-ended	fastq	599261570
ENCSR895SEG.upper_lobe_of_left_lung.1_1_1	ENCODE	SRR21926858	ENCFF694SMZ	ENCSR895SEG	paired-ended	fastq	989612624
ENCSR516CPW.right_lobe_of_liver.1_1_1	ENCODE	SRR14105316	ENCFF121HNL	ENCSR516CPW	paired-ended	fastq	1241946412
ENCSR476WNA.ovary.1_1_1	ENCODE	SRR21926834	ENCFF169CRS	ENCSR476WNA	paired-ended	fastq	1529433846
ENCSR923VTG.lower_lobe_of_right_lung.1_1_1	ENCODE	SRR21926952	ENCFF878NVN	ENCSR923VTG	paired-ended	fastq	1079388110
ENCSR213DBU.posterior_vena_cava.1_2_2	ENCODE	SRR21926661	ENCFF241CGK	ENCSR213DBU	paired-ended	fastq	598988257
ENCSR040DJK.psoas_muscle.1_1_1	ENCODE	SRR14103522	ENCFF537OEJ	ENCSR040DJK	paired-ended	fastq	695505132
ENCSR241OBO.adrenal_gland.1_1_3	ENCODE	SRR14103501	ENCFF817MYO	ENCSR241OBO	paired-ended	fastq	1059134094
ENCSR153IUB.mucosa_of_urinary_bladder.1_1_1	ENCODE	SRR14105511	ENCFF358DJF	ENCSR153IUB	paired-ended	fastq	639802740
ENCSR996ZCR.ovary.1_1_1	ENCODE	SRR14107611	ENCFF507NXA	ENCSR996ZCR	paired-ended	fastq	790397172
ENCSR452OSK.right_cardiac_atrium.1_1_1	ENCODE	SRR14306125	ENCFF993EXM	ENCSR452OSK	paired-ended	fastq	320681426
ENCSR238VHV.fallopian_tube.1_1_1	ENCODE	SRR21927064	ENCFF335AMX	ENCSR238VHV	paired-ended	fastq	768771690
ENCSR286STX.heart_left_ventricle.1_1_2	ENCODE	SRR14104162	ENCFF083XCZ	ENCSR286STX	paired-ended	fastq	2405020806
ENCSR769DGC.heart_left_ventricle.1_2_1	ENCODE	SRR21927515	ENCFF792HZQ	ENCSR769DGC	paired-ended	fastq	1060875584
ENCSR496PPU.mucosa_of_descending_colon.1_1_1	ENCODE	SRR14104394	ENCFF191IRU	ENCSR496PPU	paired-ended	fastq	1172613529
ENCSR295TFY.aorta.1_1_1	ENCODE	SRR21927206	ENCFF879PLY	ENCSR295TFY	paired-ended	fastq	586661569
ENCSR325NFE.bile_duct.1_2_2	ENCODE	SRR21927415	ENCFF274MOY	ENCSR325NFE	paired-ended	fastq	1324915362
ENCSR533WFB.sciatic_nerve.1_1_1	ENCODE	SRR21927299	ENCFF859VNN	ENCSR533WFB	paired-ended	fastq	312184474
ENCSR765MXG.body_of_pancreas.1_1_1	ENCODE	SRR14103619	ENCFF595ZAG	ENCSR765MXG	paired-ended	fastq	89938283
ENCSR337UIU.stomach.1_1_1	ENCODE	SRR14105375	ENCFF326XJM	ENCSR337UIU	paired-ended	fastq	411050705
ENCSR491VKV.heart_right_ventricle.1_1_1	ENCODE	SRR21926926	ENCFF954BEE	ENCSR491VKV	paired-ended	fastq	3004205994
ENCSR548QCP.sigmoid_colon.1_1_1	ENCODE	SRR10389003	ENCFF138HKP	ENCSR548QCP	paired-ended	fastq	362217949
ENCSR914DTI.thyroid_gland.1_1_1	ENCODE	SRR14305903	ENCFF059UER	ENCSR914DTI	paired-ended	fastq	223137150
ENCSR761TKU.transverse_colon.1_1_1	ENCODE	SRR14305085	ENCFF312UDS	ENCSR761TKU	paired-ended	fastq	251327701
ENCSR647AOY.lung.1_2_2	ENCODE	SRR14305859	ENCFF494CDB	ENCSR647AOY	paired-ended	fastq	80231781
ENCSR745CGG.heart_left_ventricle.1_1_1	ENCODE	SRR21927495	ENCFF265UOQ	ENCSR745CGG	paired-ended	fastq	1884686677
ENCSR872MAO.ovary.1_1_1	ENCODE	SRR21926785	ENCFF529EHE	ENCSR872MAO	paired-ended	fastq	103127954
ENCSR823ZCR.gastrocnemius_medialis.1_1_1	ENCODE	SRR14305525	ENCFF433SND	ENCSR823ZCR	paired-ended	fastq	268373585
ENCSR918TVE.pancreas.1_1_1	ENCODE	SRR14106905	ENCFF716LWT	ENCSR918TVE	paired-ended	fastq	282327904
ENCSR133WJY.left_ventricle_myocardium_superior.1_1_1	ENCODE	SRR14105364	ENCFF158CDA	ENCSR133WJY	paired-ended	fastq	5396760590
ENCSR174MLD.bile_duct.1_1_1	ENCODE	SRR21927256	ENCFF490YAX	ENCSR174MLD	paired-ended	fastq	505112900
ENCSR251POP.pancreas.1_1_1	ENCODE	SRR14103634	ENCFF177ZDO	ENCSR251POP	paired-ended	fastq	881564644
ENCSR682ETE.left_lung.1_1_1	ENCODE	SRR14107858	ENCFF959HPE	ENCSR682ETE	paired-ended	fastq	1239781866
ENCSR399OSE.heart_left_ventricle.1_1_2	ENCODE	SRR14107418	ENCFF167ZZE	ENCSR399OSE	paired-ended	fastq	2643980923
ENCSR491VXJ.mucosa_of_descending_colon.1_1_2	ENCODE	SRR14104320	ENCFF123YRJ	ENCSR491VXJ	paired-ended	fastq	902356409
ENCSR890DWH.psoas_muscle.1_1_1	ENCODE	SRR14105545	ENCFF948HEP	ENCSR890DWH	paired-ended	fastq	396284975
ENCSR330WUK.left_cardiac_atrium.1_1_1	ENCODE	SRR21927435	ENCFF328BFO	ENCSR330WUK	paired-ended	fastq	319691173
ENCSR913FZQ.posterior_vena_cava.1_1_2	ENCODE	SRR21926880	ENCFF163JFY	ENCSR913FZQ	paired-ended	fastq	346633510
ENCSR225FZH.heart_left_ventricle.1_1_1	ENCODE	SRR21927005	ENCFF703FBG	ENCSR225FZH	paired-ended	fastq	1059693760
ENCSR404LLJ.transverse_colon.1_1_1	ENCODE	SRR14103013	ENCFF574UTU	ENCSR404LLJ	paired-ended	fastq	439834915
ENCSR540BML.subcutaneous_adipose_tissue.1_1_1	ENCODE	SRR14305229	ENCFF215GFE	ENCSR540BML	paired-ended	fastq	396696701
ENCSR788TRR.omental_fat_pad.1_1_1	ENCODE	SRR14305202	ENCFF103VYG	ENCSR788TRR	paired-ended	fastq	368011960
ENCSR705RZX.uterus.1_1_1	ENCODE	SRR21927181	ENCFF561CBN	ENCSR705RZX	paired-ended	fastq	490304809
ENCSR774NXA.psoas_muscle.1_1_1	ENCODE	SRR14103673	ENCFF845OUV	ENCSR774NXA	paired-ended	fastq	833771306
ENCSR204PZT.heart_left_ventricle.1_1_1	ENCODE	SRR21926598	ENCFF245YIM	ENCSR204PZT	paired-ended	fastq	1493470429
ENCSR308HPZ.gastrocnemius_medialis.1_1_1	ENCODE	SRR14104383	ENCFF891RRQ	ENCSR308HPZ	paired-ended	fastq	223325638
ENCSR201FIW.thyroid_gland.1_1_1	ENCODE	SRR14102883	ENCFF513OIA	ENCSR201FIW	paired-ended	fastq	243295978
ENCSR851SBY.stomach.1_1_1	ENCODE	SRR14305749	ENCFF521ITF	ENCSR851SBY	paired-ended	fastq	316959807
ENCSR553LAZ.adrenal_gland.1_2_1	ENCODE	SRR14106942	ENCFF171DIZ	ENCSR553LAZ	paired-ended	fastq	1365574430
ENCSR392UJM.ovary.1_1_2	ENCODE	SRR14107341	ENCFF698AXZ	ENCSR392UJM	paired-ended	fastq	2173795762
ENCSR327DCG.heart_right_ventricle.1_1_1	ENCODE	SRR21927430	ENCFF467PQQ	ENCSR327DCG	paired-ended	fastq	635067400
ENCSR571JFO.ovary.1_1_1	ENCODE	SRR21927374	ENCFF250NSN	ENCSR571JFO	paired-ended	fastq	472909617
ENCSR078EBD.spleen.1_1_1	ENCODE	SRR14305318	ENCFF391IHY	ENCSR078EBD	paired-ended	fastq	272382476
ENCSR355SGJ.sigmoid_colon.1_1_1	ENCODE	SRR14305369	ENCFF775DFR	ENCSR355SGJ	paired-ended	fastq	312294227
ENCSR086OGH.sigmoid_colon.1_1_1	ENCODE	SRR14305482	ENCFF332SCG	ENCSR086OGH	paired-ended	fastq	298246166
ENCSR946MAI.left_ventricle_myocardium_inferior.1_1_1	ENCODE	SRR21927001	ENCFF691LXK	ENCSR946MAI	paired-ended	fastq	119568170
ENCSR952SPO.right_lobe_of_liver.1_1_1	ENCODE	SRR14107273	ENCFF521RQX	ENCSR952SPO	paired-ended	fastq	1289523424
ENCSR548SSP.mucosa_of_urinary_bladder.1_1_1	ENCODE	SRR21927339	ENCFF751EVM	ENCSR548SSP	paired-ended	fastq	598160553
ENCSR072UYN.sciatic_nerve.1_1_1	ENCODE	SRR14103950	ENCFF581IZG	ENCSR072UYN	paired-ended	fastq	697105991
ENCSR154UWN.psoas_muscle.1_1_3	ENCODE	SRR21927198	ENCFF717ZBG	ENCSR154UWN	paired-ended	fastq	214137003
ENCSR808ZMK.pancreas.1_1_1	ENCODE	SRR14104133	ENCFF500NOJ	ENCSR808ZMK	paired-ended	fastq	617276149
ENCSR117PYB.heart_left_ventricle.1_1_1	ENCODE	SRR14305750	ENCFF549AFY	ENCSR117PYB	paired-ended	fastq	230655076
ENCSR310RJN.heart_left_ventricle.1_1_1	ENCODE	SRR14104417	ENCFF064TFG	ENCSR310RJN	paired-ended	fastq	1604544233
ENCSR689SDA.gastrocnemius_medialis.1_1_1	ENCODE	SRR14306060	ENCFF968KAQ	ENCSR689SDA	paired-ended	fastq	169033144
ENCSR096BPX.esophagus_squamous_epithelium.1_1_1	ENCODE	SRR14305456	ENCFF323WYT	ENCSR096BPX	paired-ended	fastq	151104886
ENCSR310UDW.left_cardiac_atrium.1_1_1	ENCODE	SRR14104444	ENCFF023KVQ	ENCSR310UDW	paired-ended	fastq	1280982820
ENCSR710SMN.heart_right_ventricle.1_1_1	ENCODE	SRR14103106	ENCFF135EZA	ENCSR710SMN	paired-ended	fastq	267468191
ENCSR158KCS.spleen.1_1_2	ENCODE	SRR21927220	ENCFF555GVX	ENCSR158KCS	paired-ended	fastq	691699666
ENCSR979TCG.spleen.1_1_1	ENCODE	SRR21927268	ENCFF522ESP	ENCSR979TCG	paired-ended	fastq	748267122
ENCSR990NNX.upper_lobe_of_right_lung.1_1_1	ENCODE	SRR14107592	ENCFF632QUK	ENCSR990NNX	paired-ended	fastq	1337331592
ENCSR074WMH.Right_ventricle_myocardium_superior.1_1_1	ENCODE	SRR14305293	ENCFF481FUD	ENCSR074WMH	paired-ended	fastq	1082922186
ENCSR437OOJ.heart_right_ventricle.1_1_1	ENCODE	SRR14103575	ENCFF031DZC	ENCSR437OOJ	paired-ended	fastq	1628213075
ENCSR555ZDH.lower_lobe_of_left_lung.1_1_1	ENCODE	SRR14107021	ENCFF367UWY	ENCSR555ZDH	paired-ended	fastq	1987152485
ENCSR213YPO.right_cardiac_atrium.1_1_1	ENCODE	SRR14103038	ENCFF157JQN	ENCSR213YPO	paired-ended	fastq	2164122737
ENCSR814RGG.ureter.1_1_1	ENCODE	SRR21926620	ENCFF898PFN	ENCSR814RGG	paired-ended	fastq	607102710
ENCSR415LEB.jejunum.1_2_2	ENCODE	SRR21926675	ENCFF639LTR	ENCSR415LEB	paired-ended	fastq	309351017
ENCSR552QUA.posterior_vena_cava.1_2_1	ENCODE	SRR14106149	ENCFF349HYU	ENCSR552QUA	paired-ended	fastq	1136481725
ENCSR593YFB.heart_left_ventricle.1_1_1	ENCODE	SRR21927398	ENCFF225URM	ENCSR593YFB	paired-ended	fastq	169329239
ENCSR374ZRW.heart_right_ventricle.1_1_1	ENCODE	SRR21927527	ENCFF622RUV	ENCSR374ZRW	paired-ended	fastq	1448817767
ENCSR970UNF.colonic_mucosa.1_1_1	ENCODE	SRR14107489	ENCFF631QOO	ENCSR970UNF	paired-ended	fastq	1643492547
ENCSR386HAZ.transverse_colon.1_1_1	ENCODE	SRR14305967	ENCFF956PUF	ENCSR386HAZ	paired-ended	fastq	374254038
ENCSR955JSO.breast_epithelium.1_1_1	ENCODE	SRR14306049	ENCFF011MBI	ENCSR955JSO	paired-ended	fastq	291120801
ENCSR260ZIV.gastroesophageal_sphincter.1_1_1	ENCODE	SRR14305054	ENCFF553SEZ	ENCSR260ZIV	paired-ended	fastq	291517725
ENCSR651SOJ.adrenal_gland.1_1_1	ENCODE	SRR14107786	ENCFF612ZOQ	ENCSR651SOJ	paired-ended	fastq	1637981851
ENCSR736CIN.left_cardiac_atrium.1_2_1	ENCODE	SRR21927474	ENCFF528KGY	ENCSR736CIN	paired-ended	fastq	422919623
ENCSR177JWR.right_cardiac_atrium.1_1_2	ENCODE	SRR14106716	ENCFF731XXU	ENCSR177JWR	paired-ended	fastq	1933038018
ENCSR630REB.tibial_artery.1_1_1	ENCODE	SRR14107713	ENCFF348JLD	ENCSR630REB	paired-ended	fastq	340492010
ENCSR773USD.body_of_pancreas.1_1_1	ENCODE	SRR14305137	ENCFF538JTF	ENCSR773USD	paired-ended	fastq	187671285
ENCSR242QRV.upper_lobe_of_left_lung.1_1_1	ENCODE	SRR21927095	ENCFF161CPE	ENCSR242QRV	paired-ended	fastq	806681874
ENCSR124NNL.liver.1_2_1	ENCODE	SRR21927028	ENCFF516RWX	ENCSR124NNL	paired-ended	fastq	841179603
ENCSR694OWY.spleen.1_1_1	ENCODE	SRR21927134	ENCFF629GLL	ENCSR694OWY	paired-ended	fastq	351346251
ENCSR846ZBX.breast_epithelium.1_1_1	ENCODE	SRR10388801	ENCFF216RFR	ENCSR846ZBX	paired-ended	fastq	289588276
ENCSR258JCL.gastrocnemius_medialis.1_1_1	ENCODE	SRR14103684	ENCFF982ITD	ENCSR258JCL	paired-ended	fastq	197816047
ENCSR053SGP.heart_right_ventricle.1_1_1	ENCODE	SRR14103759	ENCFF448CXQ	ENCSR053SGP	paired-ended	fastq	1574756494
ENCSR210NKB.testis.1_1_1	ENCODE	SRR14306058	ENCFF357PYB	ENCSR210NKB	paired-ended	fastq	211987156
ENCSR373TDL.right_lobe_of_liver.1_1_1	ENCODE	SRR14305414	ENCFF035UUL	ENCSR373TDL	paired-ended	fastq	296516855
ENCSR563ZNI.heart_right_ventricle.1_2_1	ENCODE	SRR14107116	ENCFF578KEL	ENCSR563ZNI	paired-ended	fastq	2395907875
ENCSR522FGI.heart_right_ventricle.1_1_1	ENCODE	SRR14105424	ENCFF317BOO	ENCSR522FGI	paired-ended	fastq	601569075
ENCSR864ADD.adrenal_gland.1_1_1	ENCODE	SRR14104521	ENCFF803FYH	ENCSR864ADD	paired-ended	fastq	276742747
ENCSR705KEB.pancreas.1_1_2	ENCODE	SRR14103048	ENCFF177CAC	ENCSR705KEB	paired-ended	fastq	166358701
ENCSR152PSA.body_of_pancreas.1_1_1	ENCODE	SRR14305840	ENCFF524LVZ	ENCSR152PSA	paired-ended	fastq	228329038
ENCSR515CDW.body_of_pancreas.1_1_1	ENCODE	SRR14305136	ENCFF703BZC	ENCSR515CDW	paired-ended	fastq	125859783
ENCSR133CMC.heart_right_ventricle.1_1_1	ENCODE	SRR14105324	ENCFF139GIQ	ENCSR133CMC	paired-ended	fastq	1092964897
ENCSR654UYP.breast_epithelium.1_1_1	ENCODE	SRR14305402	ENCFF210QPG	ENCSR654UYP	paired-ended	fastq	358166408
ENCSR846VLJ.sigmoid_colon.1_1_1	ENCODE	SRR14104376	ENCFF574WBE	ENCSR846VLJ	paired-ended	fastq	389035078
ENCSR182VGJ.spleen.1_1_1	ENCODE	SRR21927311	ENCFF787CTN	ENCSR182VGJ	paired-ended	fastq	768237834
ENCSR802GEV.cerebellum.1_1_1	ENCODE	SRR14104080	ENCFF520LZN	ENCSR802GEV	single-ended	fastq	197339181
ENCSR729FNL.posterior_cingulate_cortex.1_1_1	ENCODE	SRR14103272	ENCFF903DYC	ENCSR729FNL	single-ended	fastq	213588090
ATAC_brain_anterior_cingulate_cortex_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367812			paired-ended	fastq	75831560
ATAC_brain_anterior_cingulate_cortex_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367719			paired-ended	fastq	65255993
ATAC_brain_anterior_cingulate_cortex_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367767			paired-ended	fastq	118013940
ATAC_brain_anterior_cingulate_cortex_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367743			paired-ended	fastq	62045998
ATAC_brain_anterior_cingulate_cortex_Neuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367790			paired-ended	fastq	88409339
ATAC_brain_anterior_cingulate_cortex_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367799			paired-ended	fastq	163890003
ATAC_brain_anterior_cingulate_cortex_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367708			paired-ended	fastq	140691701
ATAC_brain_anterior_cingulate_cortex_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367755			paired-ended	fastq	67814502
ATAC_brain_anterior_cingulate_cortex_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367730			paired-ended	fastq	194833316
ATAC_brain_anterior_cingulate_cortex_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367779			paired-ended	fastq	96242436
ATAC_brain_basal_amygdala_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367813			paired-ended	fastq	86042109
ATAC_brain_basal_amygdala_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367800			paired-ended	fastq	142761664
ATAC_brain_basal_amygdala_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367731			paired-ended	fastq	125774050
ATAC_brain_dorsolateral_prefrontal_cortex_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367814			paired-ended	fastq	96894004
ATAC_brain_dorsolateral_prefrontal_cortex_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367720			paired-ended	fastq	96316067
ATAC_brain_dorsolateral_prefrontal_cortex_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367768			paired-ended	fastq	185073709
ATAC_brain_dorsolateral_prefrontal_cortex_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367744			paired-ended	fastq	91674076
ATAC_brain_dorsolateral_prefrontal_cortex_Neuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367791			paired-ended	fastq	114488553
ATAC_brain_dorsolateral_prefrontal_cortex_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367801			paired-ended	fastq	108787786
ATAC_brain_dorsolateral_prefrontal_cortex_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367709			paired-ended	fastq	124858317
ATAC_brain_dorsolateral_prefrontal_cortex_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367756			paired-ended	fastq	93546149
ATAC_brain_dorsolateral_prefrontal_cortex_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367732			paired-ended	fastq	132632029
ATAC_brain_dorsolateral_prefrontal_cortex_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367780			paired-ended	fastq	125223147
ATAC_brain_hippocampus_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367815			paired-ended	fastq	88497455
ATAC_brain_hippocampus_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367769			paired-ended	fastq	114048715
ATAC_brain_hippocampus_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367745			paired-ended	fastq	101442470
ATAC_brain_hippocampus_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367802			paired-ended	fastq	75427458
ATAC_brain_hippocampus_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367757			paired-ended	fastq	67444695
ATAC_brain_hippocampus_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367733			paired-ended	fastq	84779263
ATAC_brain_inferior_temporal_cortex_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367817			paired-ended	fastq	69698023
ATAC_brain_inferior_temporal_cortex_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367722			paired-ended	fastq	106862323
ATAC_brain_inferior_temporal_cortex_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367771			paired-ended	fastq	124400751
ATAC_brain_inferior_temporal_cortex_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367747			paired-ended	fastq	52952384
ATAC_brain_inferior_temporal_cortex_Neuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367793			paired-ended	fastq	144163896
ATAC_brain_inferior_temporal_cortex_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367804			paired-ended	fastq	96148060
ATAC_brain_inferior_temporal_cortex_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367711			paired-ended	fastq	77981582
